NS,NR,NO,CJ,NJ,DATE,HOUR,P1_AT_1,P1_TE_1,P2_P1_A1,P2_P1_A2,P2_P1_A3,P2_P1_A4,P2_P1_A5,P2_P1_A6,P2_P1_A7,P2_P1_A8,P2_P1_TE_1,TERMINAL,TERMNAME
1,1,1,97,8173,16/08/2023,14:59,3,Continente,6,6,6,6,3,6,6,5,"Boa intensidade do sabor, apresentação agradável.",1,
1,1,2,50,8169,16/08/2023,15:00,3,Confeção caseira,8,8,8,8,3,8,8,5,"Macio bem temperado, lascas muito firmes. Excelente produto",2,
1,1,3,429,8195,16/08/2023,14:59,2,pingo doce,8,8,8,8,3,8,8,5,"ótimo aspeto, sabor e aroma",3,
1,1,4,110,8175,16/08/2023,14:59,3,Faço em casa,7,8,8,7,3,6,6,4,O bacalhau está muito bom mas a cebolada estava seca e era pouca,4,
1,1,5,38,8166,16/08/2023,14:59,3,pingo doce,6,6,6,6,3,6,6,5,um produto agradavel uma boa textura,5,
1,1,6,349,8192,16/08/2023,15:01,2,Continente,8,8,8,8,3,7,8,5,Muito bom e saboroo,6,
1,1,7,128,8178,16/08/2023,15:01,3,Pingo Doce,8,8,8,8,3,8,8,5,"O lombo lasca muito bem, é suculento, está muito bem temperado, tem um ótimo aspeto e está bem temperado",7,
1,1,8,342,8191,16/08/2023,15:03,4,continente,6,6,6,7,3,7,7,4,"boa lasca, sem excesso de sal, gostei bastante",9,
1,1,9,359,8196,16/08/2023,15:05,4,RIBERALVES,7,7,7,6,3,6,7,4,"UM POUCO SECO, MAS LASCA-SE COM FACILIDADE",10,
1,1,10,232,8188,16/08/2023,15:30,2,ribeiralves,7,8,6,8,3,8,8,5,um bacalhau com eu goto com lascas e saboroso,11,
1,1,11,123,8176,16/08/2023,15:29,3,continente,7,6,7,6,3,6,7,5,muito saboroso e lascar bem,1,
1,1,12,426,8194,16/08/2023,15:30,4,mercadona,2,3,1,3,3,2,2,1,"não gostei nada nem do aspecto, nem do sabor",2,
1,1,13,197,8184,16/08/2023,15:29,2,caseira a confeção,7,7,7,6,2,7,6,3,escelente aspeto  mas um pouco deslavado a cebolada no seu sabor era quase impreseptivel,3,
1,1,14,51,8170,16/08/2023,15:29,4,pingo doce,7,7,7,7,3,6,7,5,gosto do aspeto da cor cheira saboroso qtd de sal ideal textura podia lascar se melhor,4,
1,1,15,125,8177,16/08/2023,15:30,2,Pingo doce,7,7,6,7,3,7,7,5,Excelente em tudo,5,
1,1,16,152,8181,16/08/2023,15:30,4,riberalves,7,7,6,7,3,7,7,4,posta macia e tenra,6,
1,1,17,23,8165,16/08/2023,15:31,1,"confecção caseira, bacalhau riberalves",6,5,7,7,3,8,7,5,"a melhorar: cor mais clara do bacalhau, incluir mais cebola. pontos muito positivos: textura das lascas, sabor. mt bom no geral.",7,
1,1,18,46,8168,16/08/2023,15:32,4,Continente,6,6,6,6,3,6,6,4,Bom sabor e boa textura,9,
1,1,19,195,8182,16/08/2023,15:54,3,continente,7,7,7,7,3,7,7,5,muoitop bom em tudo...pode ter um pouco mais de sal,10,
1,1,20,192,8193,16/08/2023,15:55,3,pingo doce,7,7,7,7,3,6,7,5,tenro e muito bem temperado,11,
1,1,21,44,8167,16/08/2023,15:58,2,Continente,7,7,7,7,3,7,7,5,Sabor e textura muito agradáveis,1,
1,1,22,196,8183,16/08/2023,15:57,2,continente,7,7,8,7,3,7,7,5,"produto m de otimo aspeto, otimo sabor, sal QB, otima textura lasca muito bem",2,
1,1,23,327,8189,16/08/2023,15:58,2,auchan,7,7,7,6,4,5,6,4,bacalahau ligeiramente salgado com demasiada cozedura,3,
1,1,24,215,8187,16/08/2023,15:59,3,Comida Fresca Pingo Doce,6,6,6,7,4,6,6,5,"Sabor muito agradável, textura agradável, tempero ligeiramente mais salgado do que prefiro",4,
1,1,25,214,8186,16/08/2023,16:00,3,Comida Fresca Pingo Doce,6,6,6,6,4,5,6,3,"É agradável no sabor, mas de textura muito fibrosa, lasca pouco e mal.",5,
1,1,26,143,8179,16/08/2023,16:04,3,pingo doce,7,7,7,7,3,7,7,5,"Boas lsscas, fresco e saboroso",6,
1,1,27,146,8180,16/08/2023,16:02,4,pingo doce e elecerc,6,6,6,6,3,6,6,4,"bom sabor, sal no ponto, boa textura",7,
1,1,28,53,8171,16/08/2023,16:02,4,Continente,7,7,7,7,3,7,7,5,lascas de bacalhau muito boas,9,
1,1,29,105,8174,16/08/2023,16:10,3,riberalves,6,6,6,6,2,6,6,4,"PODERIA TER MAIS SAL E LASCAR MAiS, NO ENTANTOI BOM ASPETO BOA COR E BOM CHEIRO.",10,
1,1,30,93,8172,16/08/2023,16:16,4,continente,7,7,8,8,4,8,8,5,muito saboroso,11,
1,1,31,335,8190,16/08/2023,16:18,4,varias,6,6,7,7,3,5,6,3,gostei do sabor mas o bacalhau é um pouco seco,1,
