NS,NR,NO,CJ,NJ,DATE,HOUR,P1_AT_1,P1_TE_1,P2_P1_A1,P2_P1_A2,P2_P1_A3,P2_P1_A4,P2_P1_A5,P2_P1_A6,P2_P1_A7,P2_P1_A8,P2_P2_A1,P2_P2_A2,P2_P2_A3,P2_P2_A4,P2_P2_A5,P2_P2_A6,P2_P2_A7,P2_P2_A8,P2_P1_TE_1,P2_P2_TE_1,TERMINAL,TERMNAME
1,1,1,97,8173,16/08/2023,15:00,3,Continente,6,6,6,5,4,5,5,3,6,6,6,6,3,6,6,5,Devia ter um pouco menos de sal.,"Carne tenmra, boa intensidade do sabor.",1,
1,1,2,50,8169,16/08/2023,15:03,4,Confeção caseira,7,8,8,8,3,8,8,5,8,8,8,8,3,8,8,5,"Macia tenra, saborosa e be,m temperada. Excelente este produto",Excelente em todos os descritores.,2,
1,1,3,429,8195,16/08/2023,15:01,4,pingo doce,6,6,6,8,3,8,7,4,8,8,8,8,3,8,8,5,ótimo sabor e textura mas aspeto seco,"ótimo aspeto (gostei de ser uma fatia mais alta, aroma, sabor e textura",3,
1,1,4,110,8175,16/08/2023,15:01,4,Pingo Doce,8,8,8,8,3,8,8,5,8,8,8,6,3,7,7,4,Muito tenra e muito saborosa,A carne é boa mas o molho está temperado demais,4,
1,1,5,38,8166,16/08/2023,15:01,4,pingo doce talho,6,6,6,6,3,7,6,5,6,6,6,7,3,7,7,5,um produto agradavel,um produto muito saboroso muito agradavel,5,
1,1,6,349,8192,16/08/2023,15:02,2,Continente,7,7,6,6,3,7,7,5,7,7,7,8,3,7,7,5,MUITO BOM E SABOROSO,MUITO BOM E SABNOROSO,6,
1,1,7,128,8178,16/08/2023,15:04,4,Pingo Doce,8,8,8,8,3,8,8,5,8,8,8,8,3,8,8,5,"Está muito tenra e suculenta, está muito bem temperada e tem um ótimo aspeto","A carne desfaz-se, tem um ótimo aspeto , está muitissimo bem tenmperada e é muito suculente",7,
1,1,8,342,8191,16/08/2023,15:07,4,continente,7,7,7,7,3,7,7,4,6,6,6,6,3,5,6,3,gostei bastante,seco demais,9,
1,1,9,359,8196,16/08/2023,15:07,4,"TALHO, DIRETO DO PRODUTOR",6,6,5,6,2,6,6,3,7,7,7,8,3,8,8,5,"sabor muito intenso a borego ""velho""",muito saboroso e o sabor otimo,10,
1,1,10,232,8188,16/08/2023,15:32,3,continente,8,7,6,7,2,6,6,4,5,5,3,4,2,3,4,1,saboroso e boa textura,textura rija,11,
1,1,11,123,8176,16/08/2023,15:30,4,continente,5,5,5,5,4,5,5,3,6,6,6,6,3,6,6,3,salgado e sabor intenso a borrego,sabor intenso a borrego,1,
1,1,12,426,8194,16/08/2023,15:31,4,pingo doce,3,3,4,6,3,6,6,4,6,6,6,6,3,6,6,4,"não gostei do aspecto, mas estava muito bom de sabor","gostei do aspecto e do sabor, só a textura que não gostei muito",2,
1,1,13,197,8184,16/08/2023,15:31,2,confeção caseira,7,7,7,7,3,7,7,5,7,7,7,7,3,7,7,5,mt saboroso nada seco e mt bem confeccionada. perfeito,mt bem temperado e a sua textura mt boa,3,
1,1,14,51,8170,16/08/2023,15:31,4,pingo doce,5,5,5,5,1,7,5,1,7,7,7,7,3,4,6,3,falta cor podia ter n;mnais cheiro e sabor o a sabor não gosto mto falta sal e textura tenra,"gosto do aspeto da cor cheira bem saboroso qtd de sal é como gosto ,mas a textura está muito rija",4,
1,1,15,125,8177,16/08/2023,15:31,4,Continente,6,6,6,5,2,5,5,3,6,6,6,6,2,5,6,4,Pouco sabor e duro,Agradável de comer e bom sabor final só um pouco duro,5,
1,1,16,152,8181,16/08/2023,15:33,4,talho,6,6,6,5,2,6,5,2,7,7,6,7,3,7,7,4,nao tem grande sabor,"nao é seco, bom",6,
1,1,17,23,8165,16/08/2023,15:34,3,restaurante,6,6,6,7,4,5,5,3,7,7,7,7,3,7,7,5,aspeto pouco interessante (poucas variações de textura da peça). salgado demais.,"visualmente apelativo, cor e textura da peça heterogéneas, pontos mt positivos. sal no ponto. gordura qb. mt saboroso",7,
1,1,18,46,8168,16/08/2023,15:35,4,Continente,5,6,5,5,2,4,5,1,6,6,6,6,3,5,6,3,"Sabor pouco ativo, textura muito fraca","Bom sabor, textura um pouco fraca",9,
1,1,19,195,8182,16/08/2023,15:55,4,caseiro,5,5,6,5,3,3,6,2,7,7,7,7,3,7,7,5,muito seca....o sabor é mais a presunto do que borrego,bem tgemperado...top,10,
1,1,20,192,8193,16/08/2023,15:58,4,talho,6,6,6,5,3,4,5,3,6,6,6,6,3,6,6,4,corte muito fino e seco,"textura ideaL, tempero certo",11,
1,1,21,44,8167,16/08/2023,15:59,2,Continente,6,6,6,6,3,6,6,4,7,7,7,7,3,7,7,5,Sabor e textura agradáveis,Sabor e textura muito agradáveis,1,
1,1,22,196,8183,16/08/2023,16:03,3,mercadona,5,4,2,2,1,2,2,1,7,7,7,8,3,8,7,5,"pessimo produto, muito seco, pessimo sabor, com gordura, pessima textura tipico de congelação perlongada","produto otimo, boa apresentação, otimo cheiro, otimo sabor, tempero QB, otima textura",2,
1,1,23,327,8189,16/08/2023,16:02,2,pingo doce,6,6,5,6,3,6,6,5,7,7,5,4,4,6,5,2,carne ligeiramente seca,borrego a saber a excesso de alho,3,
1,1,24,215,8187,16/08/2023,16:04,4,Comida Fresca Pingo Doce,6,6,6,5,3,6,5,2,6,6,6,6,3,6,6,5,"Sabor enjoativo a bedum, tyextura e tempero ideais","Sabor suculento e agradável, textura e tempero ideais",4,
1,1,25,214,8186,16/08/2023,16:04,3,Comida fresca do Pngo Doce,6,6,5,4,3,6,5,1,6,6,6,6,3,6,6,4,"Boa apresentação, textura agradável, fraco sabor, mau palato","Conjunto equilibrado, boa apresentação, agradável e com bom sabor, bom palato",5,
1,1,26,143,8179,16/08/2023,16:05,3,pingo doce,6,6,6,7,3,7,7,5,7,7,7,7,3,7,7,5,"Carne com mis nervo e mais fina, mas tenrinha e saborosoa","Muito saboroso, bem cozinhado, macio",6,
1,1,27,146,8180,16/08/2023,16:05,3,"pingo Doce, Eleclerc",5,6,5,5,3,5,5,3,7,7,6,7,3,7,7,5,"peça mais magra, menos condimentada","bem temperado, com molho, sabor intenso",7,
1,1,28,53,8171,16/08/2023,16:05,4,continente,7,7,7,6,3,7,7,4,6,7,6,5,3,6,6,3,"fatia fina e tenra , sabor agradavel","carne tenra mas, possui  um sabor forte ao alho",9,
1,1,29,105,8174,16/08/2023,16:14,4,CONTINENTE,6,6,6,6,3,6,6,4,6,6,6,6,3,5,6,4,"BEM COZIDA, BOA COR, A QUANTIDADE PARA PROVAR PODERIA SER MAIOR, BOA TEXTURA.","BOM SABOR, BOA COR E BOM ASPETO, PODERIA E DEVERIA SER UM POUCO MAIS MACIO.",10,
1,1,30,93,8172,16/08/2023,16:18,4,continente,6,6,5,3,3,6,3,1,8,8,8,8,3,8,8,5,sabor desagradavel,"muito saboroso, textura muito agradavel",11,
1,1,31,335,8190,16/08/2023,16:22,4,varias,6,6,6,6,3,6,6,4,6,6,6,7,3,6,6,4,gostei da textura carne mas não do sabor,não gostei da textura mas gostei do tempero da carne,1,
